City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,uturoa,-16.7333,-151.4333,25.41,71,18,5.55,PF,1730092287
162,inhambane,-23.865,35.3833,26.36,81,99,8.62,MZ,1730092288
163,ouarzazat,30.9189,-6.8934,14.37,51,99,2.51,MA,1730092289
164,bunia,1.5667,30.25,18.65,92,84,1.17,CD,1730092290
165,kaduy,59.2,37.15,3.81,94,83,2.97,RU,1730092291
166,constantia,44.1833,28.65,7.38,71,48,3.79,RO,1730092292
167,igrim,63.1906,64.4162,-0.29,73,16,2.2,RU,1730092294
168,tupancireta,-29.0806,-53.8358,11.02,77,2,3.64,BR,1730092295
169,vengerovo,55.6848,76.7471,4.53,76,100,3.91,RU,1730092296
170,college,64.8569,-147.8028,-14.96,84,0,3.09,US,1730092297
171,ormara,25.2088,64.6357,31.03,39,27,3.2,PK,1730092298
172,st. john's,47.5649,-52.7093,4.53,90,35,0.45,CA,1730092299
173,nova sintra,14.8667,-24.7167,25.78,75,94,9.29,CV,1730092301
174,onega,63.9061,38.1404,1.73,92,12,6.06,RU,1730092302
175,cermik,38.1361,39.4493,11.34,38,0,1.83,TR,1730092304
176,alenquer,-1.9417,-54.7383,27.68,48,86,3.34,BR,1730092305
177,mambolo,8.9231,-13.0444,24.52,93,91,0.47,SL,1730092306
178,minas de marcona,-15.2119,-75.1103,12.37,87,21,3.47,PE,1730092307
179,deschutes river woods,43.9915,-121.3584,4.68,73,40,1.79,US,1730092308
180,kruisfontein,-34.0033,24.7314,13.22,92,94,2.55,ZA,1730092309
181,thulamahashi,-24.7246,31.1994,26.15,55,0,3.13,ZA,1730092200
182,port-cartier,50.0334,-66.8654,0.25,61,97,6.88,CA,1730092311
183,aasiaat,68.7098,-52.8699,-17.54,78,36,3.09,GL,1730092312
184,songjiang,31.036,121.2146,19.98,63,91,4.45,CN,1730092313
185,nangong,37.3581,115.3744,18.64,33,0,2.3,CN,1730092095
186,richards bay,-28.783,32.0377,21.54,75,87,2.98,ZA,1730092316
187,iskateley,67.6803,53.1512,-0.61,87,24,5.66,RU,1730092317
188,port-vila,-17.7338,168.3219,25.78,89,75,6.17,VU,1730092318
189,mokhsogollokh,61.4681,128.9203,-12.36,70,61,1.06,RU,1730092319
190,houghton,47.1219,-88.569,8.75,89,75,4.63,US,1730092320
